#num,year,month,date,time[second],SeaIceExtent[km2]
0,1989,01,01,0,6991995
1,1989,01,02,86400,6729601
2,1989,01,03,172800,6524340
3,1989,01,04,259200,6293637
4,1989,01,05,345600,6072322
5,1989,01,06,432000,5785457
6,1989,01,07,518400,5541570
7,1989,01,08,604800,5395461
8,1989,01,09,691200,5287911
9,1989,01,10,777600,5205142
10,1989,01,11,864000,5141460
11,1989,01,12,950400,5100523
12,1989,01,13,1036800,5020696
13,1989,01,14,1123200,4806207
14,1989,01,15,1209600,4528162
15,1989,01,16,1296000,4448729
16,1989,01,17,1382400,4385264
17,1989,01,18,1468800,4323974
18,1989,01,19,1555200,4241904
19,1989,01,20,1641600,4159333
20,1989,01,21,1728000,4069767
21,1989,01,22,1814400,3984721
22,1989,01,23,1900800,3905338
23,1989,01,24,1987200,3832871
24,1989,01,25,2073600,3753392
25,1989,01,26,2160000,3695344
26,1989,01,27,2246400,3633038
27,1989,01,28,2332800,3564759
28,1989,01,29,2419200,3531503
29,1989,01,30,2505600,3498488
30,1989,01,31,2592000,3449430
31,1989,02,01,2678400,3410156
32,1989,02,02,2764800,3391562
33,1989,02,03,2851200,3353774
34,1989,02,04,2937600,3317037
35,1989,02,05,3024000,3283039
36,1989,02,06,3110400,3209715
37,1989,02,07,3196800,3155760
38,1989,02,08,3283200,3111469
39,1989,02,09,3369600,3059007
40,1989,02,10,3456000,3003377
41,1989,02,11,3542400,2973589
42,1989,02,12,3628800,2922563
43,1989,02,13,3715200,2860900
44,1989,02,14,3801600,2799572
45,1989,02,15,3888000,2769820
46,1989,02,16,3974400,2741923
47,1989,02,17,4060800,2740675
48,1989,02,18,4147200,2753542
49,1989,02,19,4233600,2764259
50,1989,02,20,4320000,2784271
51,1989,02,21,4406400,2798706
52,1989,02,22,4492800,2822014
53,1989,02,23,4579200,2845272
54,1989,02,24,4665600,2867799
55,1989,02,25,4752000,2895067
56,1989,02,26,4838400,2937536
57,1989,02,27,4924800,2999917
58,1989,02,28,5011200,3057876
59,1989,03,01,5097600,3113331
60,1989,03,02,5184000,3170687
61,1989,03,03,5270400,3252606
62,1989,03,04,5356800,3300442
63,1989,03,05,5443200,3368158
64,1989,03,06,5529600,3409366
65,1989,03,07,5616000,3455671
66,1989,03,08,5702400,3475576
67,1989,03,09,5788800,3508498
68,1989,03,10,5875200,3539822
69,1989,03,11,5961600,3566901
70,1989,03,12,6048000,3649700
71,1989,03,13,6134400,3728091
72,1989,03,14,6220800,3794774
73,1989,03,15,6307200,3884627
74,1989,03,16,6393600,3935847
75,1989,03,17,6480000,3983853
76,1989,03,18,6566400,4059290
77,1989,03,19,6652800,4113327
78,1989,03,20,6739200,4190873
79,1989,03,21,6825600,4261943
80,1989,03,22,6912000,4330830
81,1989,03,23,6998400,4417960
82,1989,03,24,7084800,4530117
83,1989,03,25,7171200,4634282
84,1989,03,26,7257600,4716845
85,1989,03,27,7340400,4775639
86,1989,03,28,7426800,4818282
87,1989,03,29,7513200,4874700
88,1989,03,30,7599600,4916831
89,1989,03,31,7686000,4968066
90,1989,04,01,7772400,5019323
91,1989,04,02,7858800,5078661
92,1989,04,03,7945200,5163634
93,1989,04,04,8031600,5244780
94,1989,04,05,8118000,5328689
95,1989,04,06,8204400,5405752
96,1989,04,07,8290800,5471253
97,1989,04,08,8377200,5521895
98,1989,04,09,8463600,5572995
99,1989,04,10,8550000,5649844
100,1989,04,11,8636400,5745893
101,1989,04,12,8722800,5841993
102,1989,04,13,8809200,5907966
103,1989,04,14,8895600,6027386
104,1989,04,15,8982000,6152332
105,1989,04,16,9068400,6268841
106,1989,04,17,9154800,6391151
107,1989,04,18,9241200,6520212
108,1989,04,19,9327600,6652230
109,1989,04,20,9414000,6779647
110,1989,04,21,9500400,6913402
111,1989,04,22,9586800,7011316
112,1989,04,23,9673200,7114998
113,1989,04,24,9759600,7242086
114,1989,04,25,9846000,7365429
115,1989,04,26,9932400,7508417
116,1989,04,27,10018800,7635280
117,1989,04,28,10105200,7763798
118,1989,04,29,10191600,7928207
119,1989,04,30,10278000,8133536
120,1989,05,01,10364400,8319092
121,1989,05,02,10450800,8486363
122,1989,05,03,10537200,8590298
123,1989,05,04,10623600,8704784
124,1989,05,05,10710000,8848575
125,1989,05,06,10796400,8992763
126,1989,05,07,10882800,9121067
127,1989,05,08,10969200,9261653
128,1989,05,09,11055600,9420887
129,1989,05,10,11142000,9553338
130,1989,05,11,11228400,9700847
131,1989,05,12,11314800,9854491
132,1989,05,13,11401200,10006041
133,1989,05,14,11487600,10133078
134,1989,05,15,11574000,10264685
135,1989,05,16,11660400,10395888
136,1989,05,17,11746800,10512518
137,1989,05,18,11833200,10633425
138,1989,05,19,11919600,10771139
139,1989,05,20,12006000,10892623
140,1989,05,21,12092400,11017413
141,1989,05,22,12178800,11123271
142,1989,05,23,12265200,11253779
143,1989,05,24,12351600,11384945
144,1989,05,25,12438000,11522942
145,1989,05,26,12524400,11656431
146,1989,05,27,12610800,11769473
147,1989,05,28,12697200,11886924
148,1989,05,29,12783600,11960696
149,1989,05,30,12870000,12038974
